Name,GrayInk,BlackInk,HoF_Monitor,HoF_Standards
Walt Masterson,30,0,0,0
Steve Blass,30,4,33,13
Sidney Ponson,30,3,0,0
Scott Perry,30,6,12,0
Roscoe Miller,30,3,0,0
Otto Hess,30,3,15,12
Mike Smith,30,6,25,14
Mark Prior,30,0,14,18
Lou Fette,30,2,12,10
Kent Tekulve,30,4,52,14
Jose Quintana+,30,0,0,10
Jonathan Papelbon+,30,0,80,23
John Wetteland,30,3,80,18
John Denny,30,11,25,13
Jakie May,30,3,0,0
Eric Milton,30,0,0,0
Ed Figueroa,30,0,22,11
Ed Cushman,30,0,0,0
Doug Rau,30,0,11,16
Dock Ellis,30,0,18,15
Clyde Shoun,30,8,0,0
Clay Carroll,30,5,47,18
Cinders O'Brien,30,0,0,0
Buttons Briggs,30,0,0,0
Bruce Sutter*,30,15,79,17
Art Ditmar,30,0,0,0
Andy Ashby,30,2,12,0
Tom Henke,29,3,62,19
The Only Nolan,29,0,0,13
Red Munger,29,0,21,10
Ray Narleski,29,4,0,13
Nate Andrews,29,0,0,0
Monty Stratton,29,2,0,0
King Cole,29,6,22,23
John McMullin,29,0,0,0
Joe Page,29,8,25,0
Jeff Suppan,29,0,11,0
Henry Gruber,29,0,0,0
Harry McIntire,29,0,0,11
Harry Harper,29,0,0,12
Hank Johnson,29,0,0,0
Glen Hobbie,29,0,0,0
George Winter,29,0,0,16
Francisco Rodriguez+,29,10,124,16
Ed Heusser,29,4,0,0
Doug Jones,29,0,71,11
Curry Foley,29,0,0,0
Bob Barr,29,3,15,0
Blue Moon Odom,29,0,31,0
Bill Daley,29,3,0,0
Bert Humphries,29,3,0,17
Al Worthington,29,3,0,0
Ad Gumbert,29,0,20,0
Woody Williams,28,3,17,14
Saul Rogovin,28,4,0,0
Russ Bauers,28,0,0,0
Roberto Hernandez,28,0,86,0
Rick Reed,28,2,14,12
Paul Minner,28,0,0,0
Nat Hudson,28,6,21,26
Ken Johnson,28,0,0,12
Joel Pineiro,28,4,0,0
Joe Magrane,28,4,12,0
Joe Lake,28,0,0,13
Jimmy Dygert,28,2,11,18
Jim Rooker,28,0,0,0
Jim Abbott,28,0,0,0
Hank Aguirre,28,6,11,11
Duke Esper,28,0,0,0
Dickey Kerr,28,3,22,12
Bud Daley,28,0,21,0
Britt Burns,28,0,13,10
Brett Myers,28,0,0,0
Bobby Jones,28,0,0,0
Bobby Bolin,28,0,10,13
Billy Taylor,28,3,22,19
Bill Wight,28,0,0,0
Bill James,28,3,24,27
Ben Cantwell,28,0,0,0
Al Schulz,28,0,0,0
Al Mays,28,0,0,0
Wilson Alvarez,27,0,0,0
Willie McGill,27,0,0,0
Vic Lombardi,27,0,0,0
Sheldon Jones,27,0,0,0
Rick Aguilera,27,0,84,12
Ray Kolp,27,0,0,0
Paul Byrd,27,5,14,0
Orlando Hernandez,27,0,24,15
Larry McKeon,27,0,26,11
Kevin Gross,27,0,0,11
Julio Teheran+,27,0,0,11
Joe Blong,27,0,0,0
Joe Benz,27,0,0,18
Jim Wilson,27,0,12,0
Jhoulys Chacin+,27,1,0,0
Jeff Montgomery,27,3,66,12
Gus Krock,27,0,11,12
Ed Karger,27,0,0,15
Doug McWeeny,27,0,0,0
Colby Lewis+,27,0,13,0
Clay Bryant,27,4,0,14
Carlos Silva,27,2,0,0
Bryn Smith,27,2,0,14
Bob Weiland,27,0,0,0
Bill Dietrich,27,0,0,0
Ben McDonald,27,0,0,10
Andy Coakley,27,0,17,16
Alex Kellner,27,0,0,0
Al Maul,27,4,13,0
Wade Miller,26,0,0,10
Tommy Greene,26,0,0,13
Tom Morgan,26,0,0,14
Todd Jones,26,3,77,0
Ted Blankenship,26,2,0,0
Steve McCatty,26,9,0,0
Ross Grimsley,26,0,24,15
Ray Moore,26,0,0,0
Phenomenal Smith,26,0,14,0
Paul Splittorff,26,0,24,16
Pascual Perez,26,0,0,12
Orval Grove,26,0,0,0
Mickey Harris,26,4,11,0
Lew Richie,26,0,13,18
Lary Sorensen,26,0,0,0
Jose Mesa,26,3,106,0
Jose Fernandez+,26,2,14,0
Johnny Broaca,26,0,0,0
John Danks+,26,0,0,0
Jim Colborn,26,0,13,0
Jim Brosnan,26,0,0,11
Jeff Weaver,26,2,12,0
Jean Dubuc,26,0,0,12
Jay Hughes,26,7,28,27
Hi Bithorn,26,1,0,10
Fred Frankhouse,26,0,0,0
Frank Mountain,26,3,20,0
Frank Hankinson,26,0,0,0
Frank Corridon,26,0,0,16
Frank Allen,26,0,10,11
Flint Rhem,26,4,17,0
Doc Medich,26,0,0,11
Dick Ruthven,26,0,13,0
Derek Holland+,26,1,14,0
Denny Galehouse,26,2,0,0
Charlie Lea,26,0,0,13
Bill Carrick,26,5,0,0
Bill Bevens,26,0,0,13
Arnie Portocarrero,26,0,0,0
Anibal Sanchez+,26,4,11,0
Vic Sorrell,25,0,0,0
Tom Healey,25,3,0,0
Tom Ferrick,25,0,0,0
Robbie Ray+,25,0,12,0
Rick Mahler,25,2,0,0
Rick Helling,25,6,12,0
Percy Jones,25,0,0,0
Oral Hildebrand,25,1,0,0
Matt Garza+,25,1,0,0
Len Barker,25,8,11,0
John Harkins,25,0,0,0
Joey Hamilton,25,0,0,0
Gene Thompson,25,0,0,15
Frank Miller,25,0,0,14
Frank Linzy,25,0,0,12
Francisco Liriano+,25,0,15,0
Elmer Knetzer,25,0,12,0
Ed Doheny,25,0,0,0
Don Robinson,25,2,15,0
Dick Drott,25,0,0,0
Craig Kimbrel+,25,12,97,30
Chien-Ming Wang+,25,4,14,17
Bob Wicker,25,0,12,18
