Name,GrayInk,BlackInk,HoF_Monitor,HoF_Standards
Jesse Tannehill,114,4,92,41
Larry Jansen,113,10,43,20
Earl Moore,113,11,56,25
Van Mungo,112,12,34,12
Luis Tiant,112,13,97,41
Rick Reuschel,111,7,49,31
Jerry Reuss,111,2,49,29
Earl Whitehill,111,2,32,20
Bill Donovan,110,13,90,34
Tex Hughson,109,20,43,27
Mark Baldwin,109,30,81,15
Kirby Higbe,109,10,23,10
Bill Hutchinson,109,40,94,21
Ed Morris,108,28,121,35
Dean Chance,108,20,57,23
Adonis Terry,108,5,74,21
Preacher Roe,107,9,55,21
Mike Cuellar,107,13,96,35
Johnny Allen,107,10,35,24
James Shields+,107,10,28,18
Jamie Moyer,106,3,56,39
Slim Sallee,105,9,63,30
Doug Drabek,105,8,35,21
Doc White,105,12,80,37
Curt Davis,105,5,33,20
Chris Carpenter,105,15,70,26
Red Ames,104,6,51,30
Madison Bumgarner+,104,3,58,26
Kevin Appier,104,4,32,24
Jack Taylor,104,7,62,24
Jack Taylor,104,7,62,24
Charlie Hough,103,7,57,27
Andy Pettitte,103,7,128,44
Bump Hadley,102,11,27,10
Sam Jones,101,25,29,10
Ray Kremer,101,25,63,21
Harvey Haddix,101,3,30,20
Frank Lary,101,21,39,13
Adam Wainwright+,101,20,74,32
Mel Parnell,100,13,45,18
Jimmy Key,99,15,69,33
Jesse Barnes,99,5,42,17
Jered Weaver+,99,19,47,30
Dennis Leonard,99,11,39,21
Charlie Ferguson,99,6,49,27
Lee Meadows,98,8,39,20
Harry Brecheen,98,13,67,27
Jeff Tesreau,97,13,68,31
Ice Box Chamberlain,97,1,71,19
Howard Ehmke,97,5,32,12
Schoolboy Rowe,96,6,64,22
Dave McNally,96,8,96,35
Brickyard Kennedy,96,0,55,16
Bob Buhl,96,4,37,19
Sadie McMahon,95,27,79,22
Mario Soto,95,7,27,15
Joe Niekro,95,7,47,26
George Earnshaw,95,8,57,10
Dave Foutz,95,17,104,38
Jon Matlack,94,4,35,19
Howie Camnitz,94,3,51,24
Fred Goldsmith,94,3,43,29
Dan Haren+,94,3,30,26
Claude Hendrix,94,19,62,26
Sal Maglie,93,16,49,27
Nig Cuppy,93,1,54,27
Jose Rijo,93,9,28,20
Fred Toney,93,3,52,26
Larry Cheney,92,13,52,17
Denny McLain,92,22,93,26
Andy Messersmith,92,17,66,30
Pink Hawley,91,7,54,12
Jesse Haines*,91,4,64,27
Ervin Santana+,91,3,20,21
Dick Rudolph,91,3,46,22
Claude Osteen,91,0,53,26
Bill Doak,91,8,48,22
Thornton Lee,90,6,21,0
Jim Bagby,90,14,54,20
Pretzels Getzien,89,3,66,15
Jim Perry,89,11,59,32
Jim Maloney,89,0,50,29
Jake Peavy+,89,20,56,27
George Mogridge,89,4,24,14
Frank Smith,89,11,51,27
Ed Brandt,89,0,14,0
Brad Radke,89,3,13,15
Smoky Joe Wood,88,17,68,39
Red Lucas,88,13,21,19
Hideo Nomo,88,11,24,14
Barry Zito+,88,8,48,19
Al Orth,88,20,50,27
Mike Scott,87,19,57,19
Mel Stottlemyre,87,7,71,27
Kenny Rogers,87,2,65,29
Jack Coombs,87,11,95,30
Hooks Wiltse,87,0,46,33
Wilbur Wood,86,21,63,21
Watty Clark,86,9,0,10
Theodore Breitenstein,86,14,46,12
Rick Sutcliffe,86,14,49,19
Orval Overall,86,6,62,28
Ken Raffensberger,85,12,15,13
Jack McDowell,85,13,37,18
Frank Tanana,85,9,55,35
Bob Rush,85,0,11,12
Bob Groom,85,0,15,14
Tim Lincecum+,84,21,66,17
Spud Chandler,84,18,70,32
J.R. Richard,84,18,64,24
Hoyt Wilhelm*,84,16,97,30
Gary Peters,84,14,41,21
Dick Donovan,84,16,41,17
Vern Law,83,2,42,16
Harry Staley,83,2,33,12
Dave Stewart,83,19,75,21
Carlos Zambrano,83,4,30,23
Bill Sherdel,83,12,37,16
Al Leiter,83,2,42,21
Sam Gray,82,6,14,0
Johnny Morrison,82,10,23,11
