Player	HoF_Monitor	HoF_Standards	BlackInk	GrayInk
Charlie Neal	20	0	1	0
Chase Utley	94	36	3	42
Chet Lemon	23	20	2	0
Chick Hafey*	68	33	7	79
Chick Stahl	44	24	0	85
Chicken Wolf	26	0	10	71
Chief Meyers	25	0	0	0
Chili Davis	30	39	0	45
Chipper Jones*	181	70	4	107
Chone Figgins	18	19	4	36
Chris Chambliss	16	0	0	38
Chris Davis	46	0	12	44
Chris Sabo	19	0	0	29
Chris Speier	26	19	0	0
Christian Yelich	37	20	7	44
Chuck Klein*	194	48	60	166
Chuck Knoblauch	68	33	3	67
Cliff Floyd	23	22	0	0
Clyde Milan	24	23	6	79
Cookie Rojas	20	0	0	0
Corey Hart	17	0	0	0
Corey Seager	29	22	0	0
Craig Biggio*	169	57	17	104
Cristian Guzman	21	19	3	0
Cupid Childs	56	43	6	75
Curt Flood	59	0	5	58
Curt Walker	25	25	0	33
Curt Welch	25	0	3	74
Curtis Granderson	61	25	9	58
Cy Seymour	46	22	17	110
Cy Williams	44	31	19	143
Dale Alexander	62	29	9	45
Dale Mitchell	44	22	5	36
Dale Murphy	116	34	31	147
Dan Brouthers*	166	55	79	263
Dan Uggla	35	24	2	32
Dan Wilson	24	23	0	0
Daniel Murphy	32	24	7	45
Danny Murphy	20	0	0	103
Danny Tartabull	31	26	3	52
Dante Bichette	82	31	19	81
Darin Erstad	35	0	4	0
Darrell Evans	42	40	8	82
Darrell Porter	63	31	2	0
Darren Daulton	25	30	4	0
Darryl Strawberry	56	30	7	100
Dave Bancroft*	85	29	1	59
Dave Cash	39	19	8	33
Dave Concepcion	107	29	0	25
Dave Foutz	20	0	0	41
Dave Henderson	21	0	0	0
Dave Kingman	49	23	11	74
Dave Orr	64	28	22	108
Dave Parker	125	42	26	145
Dave Winfield*	148	56	4	152
Davey Johnson	38	19	0	0
Davey Lopes	33	26	4	36
David Eckstein	28	21	0	0
David Justice	43	29	0	43
David Ortiz	171	55	25	161
David Wright	74	36	0	88
Deacon McGuire	70	27	0	0
Deacon White*	47	35	28	180
Dean Palmer	25	22	0	0
Dee Gordon	42	0	14	43
Del Bissonette	22	23	1	24
Del Crandall	82	26	0	0
Del Ennis	53	29	4	143
Del Pratt	47	31	9	102
Del Rice	18	22	0	0
Denny Lyons	48	36	3	106
Derek Bell	21	0	0	26
Derek Jeter	337	67	10	145
Derrek Lee	58	30	13	52
Devon White	39	21	0	41
Dick Allen	99	39	27	159
Dick Bartell	67	32	1	37
Dick Groat	103	24	6	53
Dick McAuliffe	18	24	3	30
Dick Porter	26	19	0	0
Dick Stuart	31	0	4	59
Dixie Walker	83	35	9	126
DJ LeMahieu	29	0	4	28
Dmitri Young	23	18	0	0
Doc Cramer	81	30	10	71
Dolph Camilli	56	26	14	143
Dom DiMaggio	64	28	12	102
Don Baylor	44	30	8	67
Don Hurst	30	22	4	54
Don Kessinger	44	19	0	0
Don Mattingly	134	34	23	111
Don Mueller	25	0	3	0
Don Slaught	20	28	0	0
Donie Bush	35	34	14	86
Doug Glanville	17	0	1	0
Duff Cooley	19	17	1	41
Duffy Lewis	19	0	1	82
Duke Farrell	17	25	8	0
Duke Snider*	152	47	28	183
Dummy Hoy	42	33	8	60
Dustin Pedroia	94	33	11	70
Dusty Baker	25	24	0	47
Dusty Miller	23	20	0	0
Dwight Evans	70	44	15	113
Earl Averill*	129	50	6	145
Earl Battey	29	29	0	0
Earl Sheely	19	18	0	29
Earl Smith	19	18	0	0
Earl Webb	22	24	2	28
Earle Combs*	103	37	7	78
Ed Bailey	21	32	0	0
Ed Delahanty*	235	65	59	231
Ed McKean	69	47	4	104
Ed Morgan	29	27	0	37
Ed Swartwood	18	0	14	65
Edd Roush*	72	36	14	125
Eddie Brown	27	0	5	32
Eddie Burke	17	0	1	0
