Player	HoF_Monitor	HoF_Standards	BlackInk	GrayInk
Rocky Colavito	82	30	15	152
Rod Carew*	243	55	42	148
Roger Connor*	100	56	27	262
Roger Maris	89	22	18	57
Roger Peckinpaugh	48	26	0	34
Rogers Hornsby*	350	76	125	329
Rollie Hemsley	48	23	0	0
Ron Cey	36	29	0	80
Ron Gant	44	26	0	52
Ron LeFlore	32	19	7	62
Ron Santo*	88	41	11	147
Ross Barnes	78	29	60	147
Ross Youngs*	73	32	5	115
Roy Campanella*	108	39	4	65
Roy Johnson	34	21	4	37
Roy McMillan	27	0	2	0
Roy Sievers	50	26	8	118
Roy Thomas	28	26	17	66
Roy White	18	23	8	73
Royce Clayton	24	23	0	0
Rube Bressler	16	20	0	0
Ruben Sierra	58	28	10	69
Rudy York	69	28	14	145
Russell Martin	54	30	0	0
Rusty Greer	41	29	0	23
Rusty Staub	59	38	4	89
Ryan Braun	107	36	16	117
Ryan Howard	99	25	21	84
Ryan Klesko	24	26	0	0
Ryan Theriot	18	0	0	0
Ryan Zimmerman	34	25	0	47
Ryne Sandberg*	158	43	14	134
Sal Bando	35	25	6	85
Salvador Perez	39	0	0	0
Sam Crawford*	119	53	33	330
Sam Mertes	21	18	6	73
Sam Rice*	128	51	13	153
Sam Thompson*	174	47	49	200
Sam West	35	24	0	0
Sam Wise	19	21	0	43
Sammy Sosa	202	52	28	138
Sandy Alomar	49	24	3	0
Scott Brosius	19	0	0	0
Scott Rolen	99	40	0	27
Sean Casey	39	19	0	0
Shane Victorino	32	0	2	26
Shannon Stewart	34	21	0	27
Shawn Green	62	33	3	65
Sherm Lollar	68	30	0	0
Sherry Magee	61	35	35	210
Shoeless Joe Jackson	122	40	14	186
Sid Gordon	25	23	0	77
Smead Jolley	20	17	0	0
Smoky Burgess	46	34	0	0
Snuffy Stirnweiss	53	22	26	59
Socks Seybold	18	0	6	85
Sparky Adams	17	19	5	32
Spud Davis	44	38	0	0
Spud Johnson	21	18	4	0
Stan Hack	76	38	11	125
Stan Musial*	452	76	116	390
Stan Spence	28	18	0	81
Starlin Castro	28	19	7	24
Steve Brodie	39	25	0	0
Steve Finley	72	36	4	54
Steve Garvey	131	32	12	142
Steve O'Neill	46	26	0	0
Steve Sax	58	25	2	66
Steve Yeager	32	23	0	0
Stuffy McInnis	43	23	1	79
Taffy Wright	24	24	0	24
Taylor Douthit	41	17	1	31
Ted Kluszewski	77	24	11	112
Ted Simmons	125	44	0	95
Ted Williams*	354	73	122	326
Terry Kennedy	41	23	0	0
Terry Moore	21	0	0	39
Terry Pendleton	38	0	10	51
Terry Steinbach	47	25	0	0
Thurman Munson	90	29	0	46
Tillie Walker	18	0	4	73
Tim McCarver	39	25	1	0
Tim Raines*	91	47	20	114
Tim Salmon	34	32	0	57
Tim Wallach	48	24	4	45
Tino Martinez	41	26	0	31
Tip O'Neill	113	33	36	121
Toby Harrah	21	33	3	46
Todd Helton	175	59	16	143
Tom Brown	35	27	13	81
Tom Daly	19	28	2	0
Tom Herr	22	18	0	23
Tom Tresh	21	0	0	47
Tommie Agee	17	0	0	26
Tommy Corcoran	25	30	0	33
Tommy Davis	57	20	15	54
Tommy Harper	19	17	7	55
Tommy Henrich	49	27	5	80
Tommy Holmes	55	22	16	94
Tommy Leach	30	26	11	114
Tommy McCarthy*	45	24	3	86
Tommy Tucker	36	18	7	41
Tony Armas	42	0	13	54
Tony Batista	26	17	0	0
Tony Clark	24	0	0	0
Tony Cuccinello	21	20	1	33
Tony Fernandez	75	32	3	51
Tony Gwynn*	279	54	57	155
Tony Kubek	41	0	0	0
Tony Lazzeri*	89	39	0	91
Tony Oliva	114	29	41	146
Tony Pena	98	23	0	0
Tony Perez*	81	41	0	129
Tony Phillips	27	32	7	42
Tony Womack	27	0	7	24
Topsy Hartsel	19	19	15	92
Torii Hunter	58	34	0	29
Travis Fryman	36	26	2	0
Travis Hafner	31	19	3	47
Travis Jackson*	28	29	0	41
Tris Speaker*	253	74	38	346
Troy Glaus	59	28	4	43
Troy Tulowitzki	46	35	0	38
Ty Cobb*	445	75	154	417
Vada Pinson	95	36	18	135
Vern Stephens	75	39	18	141
Vernon Wells	52	19	5	40
Vic Power	38	0	1	63
Vic Wertz	35	26	0	102
Victor Martinez	63	37	0	54
Vin Campbell	17	18	1	38
Vince Coleman	27	0	12	49
Vinny Castilla	69	25	5	73
Vladimir Guerrero*	209	59	6	166
Wade Boggs*	268	58	37	138
Walker Cooper	74	32	0	46
Wally Berger	60	29	9	103
Wally Joyner	28	25	0	0
Wally Moon	25	21	1	54
Wally Moses	45	28	3	62
Wally Pipp	28	18	9	93
Wally Schang	58	33	0	0
Walt Dropo	19	0	4	43
Walt Weiss	29	20	0	0
Walt Wilmot	22	0	6	44
Wes Westrum	17	0	0	0
Whitey Kurowski	42	0	0	79
Wilbert Robinson*	25	24	0	0
Will Clark	84	42	13	94
Willard Marshall	20	0	0	39
Willie Davis	50	28	2	64
Willie Horton	31	23	1	64
Willie Keeler*	189	49	20	168
Willie Mays*	376	77	57	337
Willie McCovey*	111	45	31	126
Willie McGee	84	23	12	56
Willie Montanez	23	0	3	38
Willie Randolph	92	34	2	39
Willie Stargell*	107	44	17	125
Willie Wilson	61	23	18	64
Woody English	35	25	2	35
Xander Bogaerts	25	0	0	25
Yadier Molina	160	31	0	0
Yank Robinson	20	0	6	26
Yasmani Grandal	17	0	0	0
Yoenis Cespedes	23	0	0	0
Yogi Berra*	227	49	0	138
Zack Wheat*	99	48	8	227
Zeke Bonura	39	26	0	45
Zoilo Versalles	35	0	9	37
