Season,Name,Team,PA,WAR,playerid
1982,Eddie Milner,Reds,452,1.4,1008964
1947,Eddie Robinson,Indians,355,1.4,1011063
1977,Bobby Grich,Angels,225,1.4,1005033
1909,Matty McIntyre,Tigers,542,1.4,1008573
1990,Junior Ortiz,Twins,187,1.4,1009861
1971,Jose Cardenal,- - -,558,1.4,1001937
1950,Danny O'Connell,Pirates,344,1.4,1009711
1962,Julian Javier,Cardinals,662,1.4,1006371
1981,Mookie Wilson,Mets,350,1.4,1014096
1907,Admiral Schlei,Reds,281,1.4,1011566
1948,Don Lang,Cardinals,379,1.4,1007314
2002,Mike Bordick,Orioles,413,1.4,129
1888,Arthur Irwin,Quakers,484,1.4,1006276
1995,Tom Goodwin,Royals,537,1.4,1114
1908,John Ganzel,Reds,427,1.4,1004486
1951,Gus Niarhos,White Sox,217,1.4,1009551
1991,Lenny Harris,Dodgers,485,1.4,1394
1909,Tom Jones,- - -,552,1.4,1006599
1970,Dave Cash,Pirates,230,1.4,1002041
2007,Joey Gathright,Royals,261,1.4,3913
2005,Aaron Guiel,Royals,121,1.4,1503
1943,Snuffy Stirnweiss,Yankees,325,1.4,1012546
1999,Cliff Floyd,Marlins,285,1.4,518
2002,Roberto Alomar,Mets,655,1.4,860
1939,Bobby Estalella,Senators,324,1.4,1003837
1943,Phil Masi,Braves,268,1.4,1008212
1987,Dwayne Murphy,Athletics,284,1.4,1009359
1915,George Anderson,Tip-Tops,580,1.4,1000227
1971,Joe Lahoud,Red Sox,301,1.4,1007256
2017,Starling Marte,Pirates,339,1.4,9241
1962,Carl Sawatski,Cardinals,262,1.4,1011475
1993,Ed Sprague,Blue Jays,596,1.4,1012356
1943,Ken O'Dea,Cardinals,227,1.4,1009722
1885,Danny Richardson,Giants,208,1.4,1010904
1993,Chris Sabo,Reds,611,1.4,1011357
1964,Jerry Adair,Orioles,605,1.4,1000038
1945,Al Gionfriddo,Pirates,476,1.4,1004743
1988,Randy Bush,Twins,466,1.4,1001756
1997,Dave Nilsson,Brewers,629,1.4,1009601
1915,Hap Myers,Tip-Tops,402,1.4,1009421
1915,Nemo Leibold,- - -,334,1.4,1007491
1952,Sam Jethroe,Braves,688,1.4,1006407
1945,Leon Culberson,Red Sox,355,1.4,1002857
2012,David Ross,Braves,196,1.4,1551
1971,Ted Sizemore,Cardinals,532,1.4,1012027
1969,Ken Harrelson,- - -,672,1.4,1005389
1889,Cub Stricker,Spiders,626,1.4,1012613
2018,Gary Sanchez,Yankees,374,1.4,11442
1995,John Mabry,Cardinals,418,1.4,1381
1972,Duke Sims,- - -,290,1.4,1012000
1941,Buddy Rosar,Yankees,233,1.4,1011194
1886,Ned Hanlon,Wolverines,551,1.4,1005314
1907,John Hummel,Superbas,386,1.4,1006180
1941,Billy Werber,Reds,477,1.4,1013783
2004,Dustan Mohr,Giants,324,1.4,744
1973,Steve Garvey,Dodgers,366,1.4,1004557
2014,Collin Cowgill,Angels,293,1.4,7250
2013,Mike Carp,Red Sox,243,1.4,7480
1891,Tom Cahill,Colonels,480,1.4,1001819
2017,Adeiny Hechavarria,- - -,348,1.4,10459
1947,Clyde Kluttz,Pirates,255,1.4,1007021
2015,Stephen Piscotty,Cardinals,256,1.4,13367
1977,Roy Smalley,Twins,680,1.4,1012078
1940,Eddie Joost,Reds,323,1.4,1006604
1915,Stuffy McInnis,Athletics,483,1.4,1008569
2006,Russell Branyan,- - -,282,1.4,370
1937,Pinky Higgins,Red Sox,654,1.4,1005793
1942,Mike Chartak,- - -,391,1.4,1002161
1972,Gene Alley,Pirates,389,1.4,1000160
1945,Don Ross,- - -,451,1.4,1011227
1912,Arnold Hauser,Cardinals,542,1.4,1005501
1954,Al Kaline,Tigers,535,1.4,1006678
1975,Bill Robinson,Pirates,217,1.4,1011054
1924,Max Bishop,Athletics,358,1.4,1000994
1891,Steve Brodie,Beaneaters,596,1.4,1001461
1985,Enos Cabell,- - -,367,1.4,1001804
2010,Laynce Nix,Reds,182,1.4,1766
1939,Buddy Hassett,Bees,638,1.4,1005478
1932,Charlie Gelbert,Cardinals,503,1.4,1004607
1948,Phil Rizzuto,Yankees,539,1.4,1011011
1949,Eddie Waitkus,Phillies,246,1.4,1013493
1999,Will Clark,Orioles,294,1.4,1002318
1876,Jack Burdock,Dark Blues,322,1.4,1001664
2017,Asdrubal Cabrera,Mets,540,1.4,4962
1927,George Sisler,Browns,661,1.4,1012021
1933,Chick Fullis,Phillies,697,1.4,1004399
1884,Steve Brady,Metropolitans,506,1.4,1001330
1933,Odell Hale,Indians,386,1.4,1005224
1944,Emil Verban,Cardinals,538,1.4,1013406
2011,Endy Chavez,Rangers,274,1.4,768
1948,Gus Niarhos,Yankees,285,1.4,1009551
1941,Buddy Hassett,Braves,449,1.4,1005478
1957,Sammy Esposito,White Sox,223,1.4,1003831
1988,Darnell Coles,- - -,462,1.4,1002436
1956,George Kell,- - -,480,1.4,1006783
1968,Dick Green,Athletics,226,1.4,1004991
2015,Jarrod Dyson,Royals,225,1.4,4866
1985,Damaso Garcia,Blue Jays,627,1.4,1004498
1909,Bill Abstein,Pirates,570,1.4,1000029
1934,Harlin Pool,Reds,387,1.4,1010437
1945,Al Libke,Reds,489,1.4,1007595
1984,Randy Johnson,Braves,322,1.4,1006495
1936,Bill Terry,Giants,253,1.4,1012927
2005,Joey Gathright,Devil Rays,218,1.4,3913
1973,Tommy Davis,Orioles,590,1.4,1003084
1979,Jerry Royster,Braves,676,1.4,1011270
1885,Paul Radford,Grays,404,1.4,1010640
1975,Jim Sundberg,Rangers,540,1.4,1012724
1988,Manuel Lee,Blue Jays,415,1.4,1007460
2005,Reed Johnson,Blue Jays,439,1.4,1702
1883,Jackie Hayes,Alleghenys,366,1.4,1005527
1937,Morrie Arnovich,Phillies,449,1.4,1000322
1910,Jimmy Austin,Highlanders,511,1.4,1000372
2000,Mark Grudzielanek,Dodgers,676,1.4,653
2014,Brandon Phillips,Reds,499,1.4,791
1905,Spike Shannon,Cardinals,612,1.4,1011800
1987,Dave Valle,Mariners,346,1.4,1013333
1983,Chris Chambliss,Braves,514,1.4,1002119
1917,Jack Barry,Red Sox,493,1.4,1000616
2003,Eric Hinske,Blue Jays,514,1.4,1305
1993,Chip Hale,Twins,213,1.4,1005220
1974,Lee May,Astros,590,1.4,1008303
1965,Bill Freehan,Tigers,485,1.4,1004315
1904,Charlie Hemphill,Browns,483,1.4,1005624
2002,Frank Thomas,White Sox,628,1.4,255
2010,Brian Roberts,Orioles,261,1.4,166
1906,Lee Tannehill,White Sox,428,1.4,1012823
1913,Fritz Maisel,Yankees,224,1.4,1008004
1915,Babe Ruth,Red Sox,103,1.4,1011327
1919,Zeb Terry,Pirates,522,1.4,1012932
1967,Manny Mota,Pirates,378,1.4,1009259
1980,Tim Foli,Pirates,540,1.4,1004202
1988,Brian Harper,Twins,182,1.4,1005376
1915,Harry Lord,Blues,391,1.4,1007761
1891,Irv Ray,Orioles,476,1.4,1010725
1992,Wally Joyner,Royals,633,1.4,1006637
1979,John Milner,Pirates,386,1.4,1008965
1953,Rip Repulski,Cardinals,614,1.4,1010842
1922,Pat Collins,Browns,149,1.4,1002460
2003,Orlando Hudson,Blue Jays,521,1.4,1307
1924,Butch Henline,Phillies,329,1.4,1005653
1899,Tommy Leach,Colonels,454,1.4,1007428
1951,Johnny Wyrostek,Reds,598,1.4,1014314
1884,Jerry McCormick,- - -,457,1.4,1008415
1912,Ed McDonald,Braves,540,1.4,1008457
1930,Gus Suhr,Pirates,637,1.4,1012674
1995,Marquis Grissom,Braves,606,1.4,652
2001,Matt Stairs,Cubs,403,1.4,1384
2006,Jacque Jones,Cubs,578,1.4,735
1903,John Warner,Giants,309,1.4,1013636
2013,Carlos Ruiz,Phillies,341,1.4,2579
1943,Jim Tabor,Red Sox,586,1.4,1012808
1922,Larry Gardner,Indians,538,1.4,1004528
2008,Willy Aybar,Rays,362,1.4,2192
1904,Duff Cooley,Beaneaters,494,1.4,1002579
1896,Jimmy Ryan,Colts,549,1.4,1011341
1995,Tim Wallach,Dodgers,362,1.4,1013554
1994,Mickey Tettleton,Tigers,444,1.4,1012939
1993,Shane Mack,Twins,553,1.4,1007928
1980,Terry Crowley,Orioles,266,1.4,1002829
1881,Doc Kennedy,Blues,155,1.4,1006837
1871,Levi Meyerle,Athletics,132,1.4,1008830
1884,Jack Clements,- - -,220,1.4,1002338
1943,Johnny Lindell,Yankees,500,1.4,1007619
1960,Duke Snider,Dodgers,285,1.4,1012230
1949,Pete Reiser,Braves,258,1.4,1010814
1979,Hal McRae,Royals,444,1.4,1008687
1926,Jim Poole,Athletics,394,1.4,1010434
1903,Harry Bemis,Naps,332,1.4,1000824
1907,Ed Holly,Cardinals,605,1.4,1005967
1986,Daryl Boston,White Sox,224,1.4,1001219
1895,Tuck Turner,Phillies,239,1.4,1013237
1999,Tony Eusebio,Astros,363,1.4,1003854
1942,Mickey Vernon,Senators,685,1.4,1013416
1874,Bob Ferguson,Atlantics,247,1.4,1003985
1923,Ray Blades,Cardinals,366,1.4,1001023
1927,Woody English,Cubs,374,1.4,1003785
1918,Ivey Wingo,Reds,350,1.4,1014133
2001,Tomas Perez,Phillies,145,1.4,965
1933,Jo-Jo Moore,Giants,549,1.4,1009117
2016,Ichiro Suzuki,Marlins,365,1.4,1101
1972,Dave May,Brewers,556,1.4,1008292
1914,Les Nunamaker,- - -,290,1.4,1009657
1984,Spike Owen,Mariners,591,1.4,1009924
1883,Charley Radbourn,Grays,395,1.4,1010631
1906,Spike Shannon,- - -,684,1.4,1011800
1997,Turner Ward,Pirates,192,1.4,1013625
2000,Troy O'Leary,Red Sox,563,1.4,789
1944,Nap Reyes,Giants,397,1.4,1010859
2008,Rod Barajas,Blue Jays,377,1.4,45
1958,Gene Green,Cardinals,489,1.4,1004995
1924,Ernie Johnson,Yankees,134,1.4,1006453
1890,Harry Decker,- - -,403,1.4,1003126
1935,Red Ruffing,Yankees,114,1.4,1011296
1976,John Stearns,Mets,121,1.4,1012446
1903,Fred Jacklitsch,Superbas,212,1.4,1006287
1902,Bill Phillips,Reds,124,1.4,1010282
1906,Rabbit Nill,Senators,375,1.4,1009600
1990,Robby Thompson,Giants,549,1.4,1013023
1976,Cliff Johnson,Astros,384,1.4,1006437
2004,Jason Michaels,Phillies,346,1.4,1399
1945,Tom McBride,Red Sox,374,1.4,1008346
2009,John Baker,Marlins,423,1.4,4756
1981,Cliff Johnson,Athletics,310,1.4,1006437
1915,Happy Felsch,White Sox,496,1.4,1003977
1973,Al Oliver,Pirates,690,1.4,1009773
1933,Bruce Campbell,Browns,640,1.4,1001875
2008,Garret Anderson,Angels,593,1.4,2
1911,Jack Lelivelt,Senators,255,1.4,1007510
1953,Bobby Adams,Reds,677,1.4,1000045
2017,Lonnie Chisenhall,Indians,270,1.4,7571
1901,Zaza Harvey,- - -,227,1.4,1005471
2014,Cliff Pennington,Diamondbacks,201,1.4,3395
1950,Bobby Morgan,Dodgers,236,1.4,1009172
1945,Mike Tresh,White Sox,532,1.4,1013178
1932,Fred Schulte,Browns,639,1.4,1011632
1983,Brian Downing,Angels,473,1.4,1003451
1875,Bob Ferguson,Dark Blues,369,1.4,1003985
1953,Frank Baumholtz,Cubs,567,1.4,1000691
1980,Jim Essian,Athletics,321,1.4,1003835
1997,Fred McGriff,Braves,641,1.4,293
1924,Dave Bancroft,Braves,362,1.4,1000503
1995,Chris Jones,Mets,201,1.4,1006539
1975,Leon Roberts,Tigers,496,1.4,1011040
1937,Johnny McCarthy,Giants,455,1.4,1008375
1890,Lew Whistler,Giants,191,1.4,1013845
1970,Johnny Callison,Cubs,543,1.4,1001851
2008,Jermaine Dye,White Sox,645,1.4,911
1929,George Kelly,Reds,632,1.4,1006799
1942,Al Lopez,Pirates,331,1.4,1007751
2002,Greg Colbrunn,Diamondbacks,185,1.4,51
1971,Bernie Carbo,Reds,369,1.4,1001935
1919,Ivey Wingo,Reds,271,1.4,1014133
1932,Red Ruffing,Yankees,132,1.4,1011296
1978,Jerry Remy,Red Sox,643,1.4,1010828
1997,Jose Offerman,Royals,471,1.4,205
1908,Del Howard,Cubs,354,1.4,1006076
1982,Reid Nichols,Red Sox,265,1.4,1009567
2000,Dave Hansen,Dodgers,147,1.4,1403
1911,Rube Oldring,Athletics,547,1.4,1009764
1987,Dave Concepcion,Reds,311,1.4,1002494
1931,Charlie Berry,Red Sox,387,1.4,1000902
1981,Dave Stapleton,Red Sox,382,1.4,1012423
1943,Skeeter Newsome,Red Sox,480,1.4,1009548
1945,Debs Garms,Cardinals,180,1.4,1004540
1917,Tilly Walker,Red Sox,385,1.4,1013534
1927,Larry Woodall,Tigers,292,1.4,1014208
2003,Robin Ventura,- - -,453,1.4,854
1952,Joe Ginsberg,Tigers,364,1.4,1004742
2011,David Ross,Braves,171,1.4,1551
1993,Jose Offerman,Dodgers,696,1.4,205
2000,Geoff Blum,Expos,379,1.4,550
2015,Ryan Raburn,Indians,201,1.4,2218
1884,Henry Larkin,Athletics,349,1.4,1007348
2017,Orlando Arcia,Brewers,548,1.4,13185
2005,So Taguchi,Cardinals,424,1.4,1186
1985,Alan Ashby,Astros,216,1.4,1000336
1955,Walt Dropo,White Sox,502,1.4,1003510
1989,Johnny Ray,Angels,582,1.4,1010727
1916,Sam Crawford,Tigers,368,1.4,1002748
2002,Moises Alou,Cubs,534,1.4,261
1905,Jimmy Williams,Highlanders,533,1.4,1014005
2007,Rafael Furcal,Dodgers,643,1.4,88
1939,Joe Bowman,Pirates,106,1.4,1001269
1987,Jerry Browne,Rangers,526,1.4,1001525
1936,Bill Brubaker,Pirates,620,1.4,1001571
2018,Ryan Zimmerman,Nationals,323,1.4,4220
2014,Josh Willingham,- - -,364,1.4,2103
1973,Bill Sudakis,Rangers,263,1.4,1012668
1975,Juan Beniquez,Red Sox,288,1.4,1000833
1947,Frank McCormick,- - -,268,1.4,1008413
1988,Dave Bergman,Tigers,333,1.4,1000879
2009,Ronnie Belliard,- - -,287,1.4,677
1964,Gus Triandos,Phillies,220,1.4,1013182
1876,Chick Fulmer,Grays,268,1.4,1004400
1950,Floyd Baker,White Sox,223,1.4,1000452
2005,Dan Johnson,Athletics,434,1.4,2167
2007,Garret Anderson,Angels,450,1.4,2
1887,John Coleman,Alleghenys,507,1.4,1002424
1986,Jim Gantner,Brewers,543,1.4,1004483
1915,Claude Hendrix,Whales,121,1.4,1005638
1876,Jim Devlin,Grays,299,1.4,1003249
1979,Chris Speier,Expos,391,1.4,1012316
1997,Doug Strange,Expos,372,1.4,1012596
1933,Ernie Lombardi,Reds,373,1.4,1007718
1999,Ruben Rivera,Padres,475,1.4,1550
1957,Jim Rivera,White Sox,451,1.4,1011002
1979,Billy Smith,Orioles,214,1.4,1012097
1967,Bubba Morton,Angels,229,1.4,1009229
1999,Tony Graffanino,Devil Rays,142,1.4,235
2013,A.J. Pierzynski,Rangers,529,1.4,746
1911,Ira Thomas,Athletics,337,1.4,1012981
2006,Brandon Phillips,Reds,587,1.4,791
1984,Jim Wohlford,Expos,228,1.4,1014179
1916,Dots Miller,Cardinals,560,1.4,1008885
2012,Erik Kratz,Phillies,157,1.3,4403
1884,Tip O'Neill,Browns,311,1.3,1009821
1915,Jay Kirke,Indians,369,1.3,1006967
1925,Bernie Neis,Braves,400,1.3,1009493
1957,Bill Bruton,Braves,332,1.3,1001600
1938,Hersh Martin,Phillies,508,1.3,1008169
1962,Charlie Maxwell,- - -,319,1.3,1008287
1975,Phil Roof,Twins,142,1.3,1011182
1947,Johnny Sain,Braves,118,1.3,1011373
1876,Tom York,Dark Blues,273,1.3,1014355
1895,George Tebeau,Spiders,388,1.3,1012899
1991,Kevin McReynolds,Mets,578,1.3,1008690
1992,Sandy Alomar Jr.,Indians,320,1.3,221
2006,Scott Spiezio,Cardinals,321,1.3,37
1950,Fred Hutchinson,Tigers,112,1.3,1006238
1970,Chuck Hinton,Indians,224,1.3,1005852
1981,Brian Downing,Angels,370,1.3,1003451
1995,Ron Karkovice,White Sox,382,1.3,1006700
1951,Clyde Vollmer,Red Sox,445,1.3,1013449
1973,Ken Berry,Angels,452,1.3,1000908
1892,Darby O'Brien,Grooms,522,1.3,1009686
1977,Brian Downing,White Sox,214,1.3,1003451
2001,Sean Casey,Reds,588,1.3,314
1990,Jeff Treadway,Braves,511,1.3,1013169
1946,Ray Sanders,Braves,314,1.3,1011418
2016,Danny Espinosa,Nationals,601,1.3,9219
1973,Tommie Agee,- - -,288,1.3,1000080
2017,Enrique Hernandez,Dodgers,342,1.3,10472
2002,Shane Halter,Tigers,458,1.3,468
1945,Dick Siebert,Athletics,633,1.3,1011948
1951,Gene Hermanski,- - -,361,1.3,1005693
1936,Red Ruffing,Yankees,140,1.3,1011296
1969,Jose Pagan,Pirates,298,1.3,1009950
1966,Art Shamsky,Reds,271,1.3,1011786
1903,Danny Murphy,Athletics,541,1.3,1009352
1978,John Milner,Pirates,333,1.3,1008965
2015,Cesar Hernandez,Phillies,452,1.3,10556
1946,Johnny Lindell,Yankees,369,1.3,1007619
1890,Arthur Irwin,Reds,412,1.3,1006276
2014,Stephen Vogt,Athletics,287,1.3,5000
1959,Willie Jones,- - -,466,1.3,1006601
2011,Nelson Cruz,Rangers,513,1.3,2434
1993,Lance Blankenship,Athletics,328,1.3,1001052
1995,Lou Whitaker,Tigers,285,1.3,1013846
1979,Steve Nicosia,Pirates,215,1.3,1009575
1957,Enos Slaughter,Yankees,256,1.3,1012060
1872,Cal McVey,Red Stockings,238,1.3,1008696
1985,Roy Smalley,Twins,452,1.3,1012078
1940,Billy Jurges,Giants,248,1.3,1006653
1958,Jim Busby,Orioles,245,1.3,1001742
1917,Bert Niehoff,Phillies,401,1.3,1009581
1989,Jay Buhner,Mariners,226,1.3,1001638
1910,Heinie Zimmerman,Cubs,363,1.3,1014444
2003,Jeromy Burnitz,- - -,505,1.3,867
2010,Nick Punto,Twins,288,1.3,1429
1955,Alvin Dark,Giants,508,1.3,1002987
1936,Marv Owen,Tigers,655,1.3,1009918
2018,Billy Hamilton,Reds,556,1.3,10199
1991,Alvaro Espinoza,Yankees,509,1.3,1003828
1921,Heinie Mueller,Cardinals,193,1.3,1009280
1899,Fielder Jones,Superbas,429,1.3,1006555
1933,Frankie Pytlak,Indians,267,1.3,1010585
1981,Bill Sample,Rangers,260,1.3,1011396
1988,Luis Polonia,Athletics,313,1.3,1010427
1895,Tommy Dowd,Browns,542,1.3,1003443
1914,Hans Lobert,Phillies,581,1.3,1007684
1974,George Foster,Reds,314,1.3,1004250
1949,Birdie Tebbetts,Red Sox,472,1.3,1012898
1988,Gene Larkin,Twins,594,1.3,1007347
1981,Oscar Gamble,Yankees,227,1.3,1004473
1927,Jack Fournier,Braves,433,1.3,1004264
2001,Todd Walker,- - -,610,1.3,359
1887,Bill Gleason,Browns,647,1.3,1004764
1932,Gus Mancuso,Cardinals,344,1.3,1008051
2014,Zack Cozart,Reds,543,1.3,2616
1946,Bruce Edwards,Dodgers,338,1.3,1003683
1900,Bill Keister,Cardinals,539,1.3,1006763
1911,Red Dooin,Phillies,269,1.3,1003401
2012,Troy Tulowitzki,Rockies,203,1.3,3531
2008,Adam LaRoche,Pirates,554,1.3,1904
1951,Phil Cavarretta,Cubs,237,1.3,1002093
1993,David Hulse,Rangers,441,1.3,1006176
1885,Mike Muldoon,Orioles,434,1.3,1009290
1996,David Segui,Expos,477,1.3,169
1948,Mike McCormick,Braves,383,1.3,1008419
1998,Gregg Jefferies,- - -,592,1.3,1006379
1911,Patsy Dougherty,White Sox,252,1.3,1003430
1936,Spud Davis,Cardinals,402,1.3,1003078
1956,Fred Hatfield,- - -,388,1.3,1005489
1877,George Hall,Grays,281,1.3,1005245
1983,Don Slaught,Royals,290,1.3,1012059
1975,Bob Boone,Phillies,329,1.3,1001183
2012,Lorenzo Cain,Royals,244,1.3,9077
2013,Khris Davis,Brewers,153,1.3,9112
1999,Richard Hidalgo,Astros,449,1.3,561
1929,Mark Koenig,Yankees,400,1.3,1007077
1970,Phil Roof,Brewers,362,1.3,1011182
1898,Harry Steinfeldt,Reds,355,1.3,1012466
2000,Jacque Jones,Twins,552,1.3,735
1934,Randy Moore,Braves,466,1.3,1009124
1973,Eric Soderholm,Twins,135,1.3,1012260
1986,Don Baylor,Red Sox,687,1.3,1000700
1954,Fred Marsh,White Sox,109,1.3,1008139
1901,Hughie Jennings,Phillies,347,1.3,1006396
1924,Johnny Mitchell,Robins,296,1.3,1009002
1951,Whitey Lockman,Giants,673,1.3,1007694
1993,Al Martin,Pirates,528,1.3,1167
1950,Mike Goliat,Phillies,540,1.3,1004817
1963,Norm Siebern,Athletics,644,1.3,1011949
1964,Leo Cardenas,Reds,652,1.3,1001938
1879,Sadie Houck,Red Caps,360,1.3,1006049
1987,Lance Parrish,Phillies,518,1.3,1010021
1961,Bill Mazeroski,Pirates,595,1.3,1008316
1982,Wally Backman,Mets,312,1.3,1000400
1921,Rube Bressler,Reds,381,1.3,1001398
1977,Rico Carty,Indians,521,1.3,1002025
1939,Babe Phelps,Dodgers,356,1.3,1010275
1958,Pete Whisenant,Redlegs,229,1.3,1013844
2009,Rickie Weeks Jr.,Brewers,162,1.3,1849
1923,Bill Wambsganss,Indians,418,1.3,1013595
1905,Frank Bowerman,Giants,327,1.3,1001253
1992,Cory Snyder,Giants,420,1.3,1012244
1995,Steve Finley,Padres,630,1.3,54
1987,Fred McGriff,Blue Jays,356,1.3,293
1987,Jim Dwyer,Orioles,281,1.3,1003608
1985,Ron Roenicke,Giants,170,1.3,1011121
1879,Jake Evans,Trojans,285,1.3,1003866
2018,Ryan Braun,Brewers,447,1.3,3410
1928,Rabbit Maranville,Cardinals,412,1.3,1008099
1905,Danny Green,White Sox,454,1.3,1004988
1902,Hughie Jennings,Phillies,322,1.3,1006396
1897,Honus Wagner,Colonels,258,1.3,1013485
2008,Ivan Rodriguez,- - -,429,1.3,1275
2016,Brandon Guyer,- - -,345,1.3,2636
1914,Tom Daley,- - -,340,1.3,1002946
2017,Trevor Story,Rockies,555,1.3,12564
1923,Wally Gerber,Browns,689,1.3,1004627
2012,Kelly Shoppach,- - -,245,1.3,3867
1912,Rube Oldring,Athletics,426,1.3,1009764
1889,Tony Mullane,Red Stockings,225,1.3,1009291
1994,Rusty Greer,Rangers,331,1.3,1252
1994,Tino Martinez,Mariners,366,1.3,1168
1912,Tommy Clarke,Reds,180,1.3,1002313
1989,Luis Quinones,Reds,378,1.3,1010614
1983,Dwight Evans,Red Sox,544,1.3,1003865
2018,Jake Cave,Twins,309,1.3,14477
1910,Joe Jackson,Naps,86,1.3,1006301
1962,Chico Fernandez,Tigers,560,1.3,1003994
1972,Paul Schaal,Royals,503,1.3,1011502
2001,Adam Kennedy,Angels,532,1.3,19
1967,Jerry Adair,- - -,443,1.3,1000038
1993,Kevin Stocker,Phillies,302,1.3,1012549
1926,Bill Terry,Giants,255,1.3,1012927
1986,Ozzie Guillen,White Sox,577,1.3,1005125
1962,Gordy Coleman,Reds,519,1.3,1002422
1915,Art Butler,Cardinals,533,1.3,1001769
1901,Bob Wood,Blues,368,1.3,1014211
1973,Dan Driessen,Reds,394,1.3,1003501
2003,Edgardo Alfonzo,Giants,586,1.3,859
1974,Juan Beniquez,Red Sox,423,1.3,1000833
2003,Dave Roberts,Dodgers,440,1.3,670
2012,Brendan Ryan,Mariners,470,1.3,6073
1980,Ivan DeJesus,Cubs,692,1.3,1003150
2015,Josh Harrison,Pirates,449,1.3,8202
1882,John Reccius,Eclipse,289,1.3,1010746
1975,Denny Doyle,- - -,353,1.3,1003460
1992,Pedro Munoz,Twins,439,1.3,1009331
1988,Ozzie Virgil,Braves,350,1.3,1013439
1905,Solly Hofman,Cubs,316,1.3,1005917
1986,Howard Johnson,Mets,253,1.3,1006462
1972,Pat Kelly,White Sox,464,1.3,1006810
2013,Asdrubal Cabrera,Indians,562,1.3,4962
2003,Charles Johnson,Rockies,414,1.3,523
1988,Dwayne Murphy,Tigers,171,1.3,1009359
1984,Denny Walling,Astros,268,1.3,1013559
1999,Mike Hampton,Astros,88,1.3,430
1898,Danny Green,Orphans,199,1.3,1004988
1889,Bob Caruthers,Bridegrooms,218,1.3,1002026
1999,Alex Gonzalez,Blue Jays,173,1.3,281
1992,Sid Bream,Braves,427,1.3,1001373
1987,Mike Davis,Athletics,547,1.3,1003070
1912,Fred Luderus,Phillies,628,1.3,1007813
2012,Drew Stubbs,Reds,544,1.3,9328
1989,Lance Johnson,White Sox,199,1.3,1006482
1969,Walt Williams,White Sox,507,1.3,1014044
1920,Wally Gerber,Browns,663,1.3,1004627
1973,John Ellis,Indians,494,1.3,1003750
1885,Ed Swartwood,Grays,440,1.3,1012766
2010,Don Kelly,Tigers,251,1.3,2216
2007,Scott Hairston,- - -,294,1.3,1926
2004,Rondell White,Tigers,498,1.3,856
1937,Joe Marty,Cubs,324,1.3,1008205
1961,Wayne Causey,Athletics,361,1.3,1002091
1988,Andy Allanson,Indians,474,1.3,1000130
1949,Al Evans,Senators,374,1.3,1003857
1970,Joe Keough,Royals,210,1.3,1006856
1929,Harry Rice,Tigers,613,1.3,1010895
1963,Cam Carreon,White Sox,299,1.3,1001988
1999,Bubba Trammell,Devil Rays,328,1.3,1057
1991,Mike Sharperson,Dodgers,252,1.3,1011809
1886,Emmett Seery,Maroons,510,1.3,1011721
1905,Jim Jackson,Naps,470,1.3,1006300
1970,Dave Duncan,Athletics,258,1.3,1003552
1979,Manny Trillo,Phillies,467,1.3,1013184
2009,Brett Carroll,Marlins,158,1.3,8066
1998,Mike Redmond,Marlins,129,1.3,538
1884,Hick Carpenter,Red Stockings,484,1.3,1001979
1990,Paul O'Neill,Reds,564,1.3,1009818
2015,Cameron Maybin,Braves,555,1.3,5223
2000,Mike Darr,Padres,228,1.3,1002993
2018,Willy Adames,Rays,323,1.3,15986
1919,Doc Johnston,Indians,381,1.3,1006446
1967,Vic Davalillo,Indians,375,1.3,1003012
1998,Charlie Hayes,Giants,366,1.3,1005525
2018,Tyler O'Neill,Cardinals,142,1.3,15711
1986,Willie McGee,Cardinals,539,1.3,1008513
1885,Pop Corkhill,Red Stockings,454,1.3,1002629
1888,George Wood,Quakers,479,1.3,1014217
1931,Cliff Heathcote,Reds,286,1.3,1005559
1969,Bobby Knoop,- - -,473,1.3,1007049
1978,Jim Norris,Indians,365,1.3,1009635
1931,Carl Reynolds,White Sox,495,1.3,1010864
1931,Taylor Douthit,- - -,572,1.3,1003438
1979,Jason Thompson,Tigers,569,1.3,1013014
1980,Richie Zisk,Rangers,492,1.3,1014455
1881,Lon Knight,Wolverines,363,1.3,1007042
2004,Matt Holliday,Rockies,439,1.3,1873
1886,Jack O'Brien,Athletics,468,1.3,1009692
2001,Eric Young,Cubs,672,1.3,716
2012,Martin Maldonado,Brewers,256,1.3,6887
1953,Cass Michaels,Athletics,469,1.3,1008836
1993,Scott Servais,Astros,291,1.3,1011756
1911,John Titus,Phillies,273,1.3,1013085
1960,Eddie Bressoud,Giants,431,1.3,1001397
1915,Art Phelan,Cubs,523,1.3,1010272
1948,Wally Judnich,Indians,281,1.3,1006645
2002,Tsuyoshi Shinjo,Giants,398,1.3,1132
1924,Bill Lamar,Athletics,396,1.3,1007271
1935,Hal Lee,Braves,445,1.3,1007455
1996,Ozzie Smith,Cardinals,261,1.3,1012186
1946,Peanuts Lowrey,Cubs,614,1.3,1007794
1888,Paul Radford,Bridegrooms,347,1.3,1010640
1956,Jim King,Cubs,354,1.3,1006932
1947,Jim Russell,Pirates,548,1.3,1011315
1983,Larry Parrish,Rangers,614,1.3,1010020
1965,Russ Snyder,Orioles,381,1.3,1012256
1923,Ray Powell,Braves,395,1.3,1010495
1987,Bob Boone,Angels,442,1.3,1001183
