Season,Name,Team,PA,WAR,playerid
1953,Al Rosen,Indians,688,9.1,1011208
1912,Frank Baker,Athletics,644,9.1,1000453
1997,Larry Walker,Rockies,664,9.1,455
1980,George Brett,Royals,515,9.1,1001400
2005,Alex Rodriguez,Yankees,715,9.1,1274
1997,Mike Piazza,Dodgers,633,9.1,893
1955,Willie Mays,Giants,670,9,1008315
2004,Scott Rolen,Cardinals,593,9,970
1928,Rogers Hornsby,Braves,619,9,1006030
1944,Snuffy Stirnweiss,Yankees,723,9,1012546
1899,John McGraw,Orioles,539,9,1008542
1951,Jackie Robinson,Dodgers,642,9,1011070
1997,Ken Griffey Jr.,Mariners,704,9,327
1990,Lenny Dykstra,Phillies,691,9,1003619
1913,Eddie Collins,Athletics,652,9,1002451
1904,Honus Wagner,Pirates,558,9,1013485
1980,Mike Schmidt,Phillies,652,9,1011586
1969,Reggie Jackson,Athletics,677,8.9,1006308
1906,George Stone,Browns,658,8.9,1012564
2001,Luis Gonzalez,Diamondbacks,728,8.9,55
1987,Wade Boggs,Red Sox,667,8.9,1001124
1977,George Foster,Reds,689,8.9,1004250
1901,Nap Lajoie,Athletics,582,8.9,1007259
1961,Hank Aaron,Braves,671,8.9,1000001
1945,Snuffy Stirnweiss,Yankees,717,8.9,1012546
1997,Barry Bonds,Giants,690,8.9,1109
1970,Carl Yastrzemski,Red Sox,697,8.9,1014326
1985,Wade Boggs,Red Sox,758,8.8,1001124
1896,Hughie Jennings,Orioles,602,8.8,1006396
1953,Duke Snider,Dodgers,680,8.8,1012230
1904,Nap Lajoie,Naps,594,8.8,1007259
1942,Joe Gordon,Yankees,625,8.8,1004874
1958,Mickey Mantle,Yankees,654,8.8,1008082
1934,Jimmie Foxx,Athletics,652,8.8,1004285
1946,Stan Musial,Cardinals,702,8.8,1009405
1972,Joe Morgan,Reds,680,8.7,1009179
1958,Ernie Banks,Cubs,682,8.7,1000512
1920,Tris Speaker,Indians,674,8.7,1012309
2008,Albert Pujols,Cardinals,641,8.7,1177
1932,Babe Ruth,Yankees,589,8.7,1011327
1923,Tris Speaker,Indians,693,8.7,1012309
1938,Mel Ott,Giants,652,8.7,1009904
1945,Tommy Holmes,Braves,713,8.7,1005980
2015,Josh Donaldson,Blue Jays,711,8.7,5038
1935,Lou Gehrig,Yankees,672,8.7,1004598
2000,Darin Erstad,Angels,747,8.7,11
1964,Ron Santo,Cubs,686,8.7,1011447
1953,Eddie Mathews,Braves,681,8.7,1008236
1905,Cy Seymour,Reds,643,8.7,1011777
1988,Wade Boggs,Red Sox,719,8.6,1001124
2009,Ben Zobrist,Rays,599,8.6,7435
2004,J.D. Drew,Braves,645,8.6,1152
1979,Fred Lynn,Red Sox,622,8.6,1007872
1974,Joe Morgan,Reds,641,8.6,1009179
1951,Stan Musial,Cardinals,678,8.6,1009405
2013,Miguel Cabrera,Tigers,652,8.6,1744
1977,Rod Carew,Twins,694,8.6,1001942
1913,Tris Speaker,Red Sox,608,8.6,1012309
1906,Terry Turner,Naps,643,8.6,1013233
1998,Barry Bonds,Giants,697,8.5,1109
1934,Charlie Gehringer,Tigers,708,8.5,1004596
1938,Arky Vaughan,Pirates,650,8.5,1013377
1935,Jimmie Foxx,Athletics,649,8.5,1004285
1948,Ted Williams,Red Sox,638,8.5,1014040
1983,Cal Ripken,Orioles,726,8.5,1010978
1939,Joe DiMaggio,Yankees,524,8.5,1003311
1966,Willie Mays,Giants,629,8.5,1008315
1937,Lou Gehrig,Yankees,700,8.5,1004598
1966,Ron Santo,Cubs,672,8.5,1011447
1912,Honus Wagner,Pirates,634,8.5,1013485
1998,Mark McGwire,Cardinals,681,8.5,1008559
1993,Ken Griffey Jr.,Mariners,691,8.4,327
1957,Willie Mays,Giants,668,8.4,1008315
1963,Hank Aaron,Braves,714,8.4,1000001
1915,Benny Kauff,Tip-Tops,581,8.4,1006715
2009,Albert Pujols,Cardinals,700,8.4,1177
1903,Honus Wagner,Pirates,571,8.4,1013485
2010,Josh Hamilton,Rangers,571,8.4,1875
1989,Rickey Henderson,- - -,674,8.4,194
1954,Ted Williams,Red Sox,526,8.4,1014040
2007,David Wright,Mets,711,8.4,3787
1982,Gary Carter,Expos,653,8.4,1002015
1899,Ed Delahanty,Phillies,645,8.3,1003155
1960,Willie Mays,Giants,669,8.3,1008315
1959,Eddie Mathews,Braves,682,8.3,1008236
1922,George Sisler,Browns,654,8.3,1012021
1930,Joe Cronin,Senators,686,8.3,1002796
1961,Willie Mays,Giants,659,8.3,1008315
1914,Eddie Collins,Athletics,657,8.3,1002451
2011,Matt Kemp,Dodgers,689,8.3,5631
1937,Joe Medwick,Cardinals,677,8.3,1008719
1894,Billy Hamilton,Phillies,679,8.3,1005270
1912,Eddie Collins,Athletics,673,8.3,1002451
1976,Mike Schmidt,Phillies,705,8.3,1011586
1954,Duke Snider,Dodgers,679,8.3,1012230
1938,Jimmie Foxx,Red Sox,685,8.3,1004285
1886,Dan Brouthers,Wolverines,555,8.3,1001486
2000,Todd Helton,Rockies,697,8.3,432
1989,Wade Boggs,Red Sox,742,8.3,1001124
2014,Mike Trout,Angels,705,8.3,10155
2004,Jim Edmonds,Cardinals,612,8.3,1153
1985,George Brett,Royals,665,8.3,1001400
1937,Hank Greenberg,Tigers,701,8.3,1004996
1979,George Brett,Royals,701,8.3,1001400
1944,Lou Boudreau,Indians,681,8.3,1001234
1959,Hank Aaron,Braves,693,8.2,1000001
1962,Frank Robinson,Reds,701,8.2,1011066
1947,Ralph Kiner,Pirates,666,8.2,1006923
1887,Tip O'Neill,Browns,572,8.2,1009821
1995,John Valentin,Red Sox,621,8.2,1375
2009,Chase Utley,Phillies,687,8.2,1679
2016,Mookie Betts,Red Sox,730,8.2,13611
1964,Dick Allen,Phillies,708,8.2,1000137
2017,Aaron Judge,Yankees,678,8.2,15640
1970,Tony Perez,Reds,681,8.2,1010188
2008,Chase Utley,Phillies,707,8.2,1679
2000,Troy Glaus,Angels,678,8.2,15
1920,Eddie Collins,White Sox,706,8.2,1002451
1885,Roger Connor,Giants,506,8.2,1002537
1966,Frank Robinson,Orioles,680,8.2,1011066
1971,Willie Stargell,Pirates,606,8.2,1012426
1895,Hughie Jennings,Orioles,613,8.2,1006396
1930,Bill Terry,Giants,710,8.2,1012927
1989,Lonnie Smith,Braves,577,8.1,1012176
1962,Hank Aaron,Braves,667,8.1,1000001
1976,Graig Nettles,Yankees,657,8.1,1009517
1996,Chuck Knoblauch,Twins,701,8.1,609
2006,Albert Pujols,Cardinals,634,8.1,1177
1993,John Olerud,Blue Jays,679,8.1,1093
1964,Brooks Robinson,Orioles,685,8.1,1011055
1998,John Olerud,Mets,665,8.1,1093
1932,Lou Gehrig,Yankees,708,8.1,1004598
2013,Andrew McCutchen,Pirates,674,8.1,9847
1989,Will Clark,Giants,675,8.1,1002318
2011,Jose Bautista,Blue Jays,655,8.1,1887
1932,Mel Ott,Giants,673,8.1,1009904
2018,Jose Ramirez,Indians,698,8,13510
2007,Magglio Ordonez,Tigers,679,8,248
1961,Rocky Colavito,Tigers,708,8,1002404
1929,Jimmie Foxx,Athletics,638,8,1004285
1961,Jim Gentile,Orioles,601,8,1004612
1929,Mel Ott,Giants,674,8,1009904
1930,Hack Wilson,Cubs,709,8,1014083
1916,Tris Speaker,Indians,647,8,1012309
1898,Hughie Jennings,Orioles,665,8,1006396
1997,Jeff Bagwell,Astros,717,8,547
1984,Ryne Sandberg,Cubs,700,8,1011411
1974,Johnny Bench,Reds,708,8,1000826
1972,Dick Allen,White Sox,609,8,1000137
1975,Mike Schmidt,Phillies,674,7.9,1011586
1936,Mel Ott,Giants,660,7.9,1009904
1929,Al Simmons,Athletics,629,7.9,1011978
1906,Art Devlin,Giants,591,7.9,1003248
1969,Willie McCovey,Giants,623,7.9,1008423
1954,Eddie Mathews,Braves,601,7.9,1008236
2016,Kris Bryant,Cubs,699,7.9,15429
1970,Johnny Bench,Reds,671,7.9,1000826
1931,Al Simmons,Athletics,563,7.9,1011978
2007,Curtis Granderson,Tigers,676,7.9,4747
2006,Grady Sizemore,Indians,751,7.9,2197
1913,Frank Baker,Athletics,644,7.9,1000453
1963,Eddie Mathews,Braves,675,7.9,1008236
2005,Andruw Jones,Braves,672,7.9,96
1998,Alex Rodriguez,Mariners,748,7.9,1274
