Season,Name,PA,WAR
1929,Bill Dickey,473,2.9
1876,Paul Hines,306,2.9
2013,Leonys Martin,508,2.9
1958,Harry Anderson,585,2.9
1982,U L Washington,487,2.9
1975,Bernie Carbo,407,2.9
1979,George Hendrick,548,2.9
1980,Phil Garner,610,2.9
1967,Horace Clarke,633,2.9
1998,Brian McRae,645,2.9
2008,Hunter Pence,642,2.9
1928,George Harper,408,2.9
1973,Roy White,723,2.9
1934,Chick Hafey,596,2.9
1978,Bob Stinson,429,2.9
2016,Hanley Ramirez,620,2.9
1980,Miguel Dilone,566,2.9
1988,Bill Doran,552,2.9
1884,Charlie Sweeney,360,2.9
1982,Dale Berra,583,2.9
1999,Tony Clark,609,2.9
1888,Emmett Seery,570,2.9
1904,Charlie Hickman,520,2.9
1978,Terry Puhl,647,2.9
2002,Eli Marrero,446,2.9
1974,Chris Speier,577,2.9
1955,Del Crandall,494,2.9
1936,Tony Lazzeri,638,2.9
1995,Delino DeShields,493,2.9
2006,Adrian Gonzalez,631,2.9
2010,Ike Davis,601,2.9
1986,Ernie Whitt,433,2.9
1942,Frank McCormick,616,2.9
2013,Brian Dozier,623,2.9
2009,Asdrubal Cabrera,581,2.9
2014,Yadier Molina,445,2.9
2016,Billy Hamilton,460,2.9
1989,Ernie Whitt,440,2.9
1987,Alvin Davis,662,2.9
1897,Bobby Lowe,548,2.9
2003,Brian Roberts,512,2.9
1985,Jim Presley,625,2.9
1917,Amos Strunk,634,2.9
1922,Butch Henline,481,2.9
1985,Chili Davis,551,2.9
1984,Mookie Wilson,619,2.9
2014,Salvador Perez,606,2.9
1965,Donn Clendenon,676,2.9
1957,Charlie Neal,514,2.9
1936,Rick Ferrell,480,2.9
1986,Mookie Wilson,416,2.9
1975,Jim Rice,613,2.9
2007,Hideki Matsui,634,2.9
1955,Harvey Kuenn,666,2.9
2007,Adrian Beltre,639,2.9
2017,Odubel Herrera,563,2.9
1947,Elmer Valo,450,2.9
2002,Placido Polanco,595,2.9
1990,Brian Harper,509,2.9
1964,Zoilo Versalles,718,2.9
1997,Royce Clayton,619,2.9
1895,Bill Everitt,596,2.9
1986,Tony Bernazard,636,2.9
1984,Jesse Barfield,360,2.9
1897,Fred Tenney,646,2.9
1883,Tom Burns,418,2.9
1905,Jake Stahl,560,2.9
1880,Orator Shaffer,355,2.9
1937,Gus Suhr,667,2.9
1993,Don Mattingly,596,2.9
1911,Mike Mowrey,557,2.9
1960,Smoky Burgess,376,2.9
1947,Hoot Evers,525,2.9
2005,Manny Ramirez,650,2.9
2005,Michael Barrett,477,2.9
1894,Cap Anson,383,2.9
1905,Claude Ritchey,596,2.9
1972,Vic Davalillo,403,2.9
2013,Alex Rios,662,2.9
1890,Dummy Hoy,595,2.9
1954,Jim Finigan,560,2.9
1976,Juan Beniquez,526,2.9
1906,Socks Seybold,459,2.9
1922,Ray Schalk,534,2.9
1939,Frankie Hayes,486,2.9
2011,Carlos Lee,653,2.9
1915,Bobby Vaughn,624,2.9
2007,Casey Blake,662,2.9
2007,Kenny Lofton,559,2.9
2001,Richie Sexson,667,2.9
2007,Adrian Gonzalez,720,2.9
1914,Larry Doyle,623,2.9
1922,Cotton Tierney,488,2.9
1971,Jerry Kenney,395,2.9
1985,Jack Clark,532,2.9
2010,Casey Blake,571,2.9
1963,Floyd Robinson,600,2.9
1993,Andujar Cedeno,569,2.9
1932,Rick Ferrell,514,2.9
1969,Bill Freehan,555,2.9
2009,Carlos Beltran,357,2.9
1888,Billy Shindle,542,2.9
1967,Rod Carew,561,2.9
1986,Mike Pagliarulo,565,2.9
2006,Manny Ramirez,558,2.9
1991,Albert Belle,496,2.9
1889,Patsy Tebeau,560,2.9
2006,Jason Kendall,626,2.9
2018,Rhys Hoskins,660,2.9
1970,Al Kaline,555,2.9
1932,Bill Dickey,459,2.9
2012,Jon Jay,502,2.9
1934,Billy Herman,501,2.9
1939,Ernie Lombardi,494,2.9
1890,Rasty Wright,480,2.9
2013,Omar Infante,476,2.9
1929,Mule Haas,656,2.9
1990,Mitch Webster,477,2.9
1988,Claudell Washington,485,2.9
1946,Stan Hack,409,2.9
1941,Dick Bartell,454,2.9
1984,Gary Gaetti,644,2.9
1921,Heinie Groh,416,2.9
1895,Bid McPhee,520,2.9
2009,Nick Swisher,607,2.9
1935,Babe Herman,471,2.9
1901,Harry Davis,525,2.9
1964,Rich Rollins,665,2.9
1898,Algie McBride,557,2.9
1915,Duffy Lewis,634,2.9
1887,Germany Smith,449,2.9
2017,Yasiel Puig,570,2.9
2013,Giancarlo Stanton,504,2.9
1993,Danny Tartabull,611,2.9
1946,Pat Seerey,476,2.9
1965,Jerry Adair,625,2.9
2012,Carlos Santana,609,2.9
1899,Monte Cross,649,2.9
1960,Dick Williams,466,2.9
1896,Fielder Jones,451,2.9
1969,Willie Mays,459,2.9
1955,Elmer Valo,338,2.9
1998,Todd Helton,595,2.9
1982,Darrell Porter,445,2.9
1945,Johnny Barrett,594,2.9
1977,Garry Templeton,644,2.9
1967,Reggie Smith,628,2.9
1891,Jim McTamany,630,2.9
1884,Fred Lewis,353,2.9
1926,Muddy Ruel,444,2.9
1970,Cleon Jones,574,2.9
1954,Monte Irvin,512,2.9
1946,Vern Stephens,488,2.9
1984,Darryl Motley,557,2.9
1950,Sam Jethroe,642,2.9
1937,Pinky Whitney,542,2.9
1979,Bump Wills,617,2.9
2005,Freddy Sanchez,492,2.9
1983,Ken Landreaux,524,2.9
2007,Adam Dunn,632,2.9
1900,Herman Long,550,2.9
1966,Jimmy Wynn,467,2.9
1989,Wally Joyner,654,2.9
1897,Herman Long,492,2.9
2006,Mark DeRosa,572,2.9
1969,Dick McAuliffe,321,2.9
1962,Bill Bruton,633,2.9
1996,Julio Franco,499,2.9
1919,Jack Tobin,544,2.9
1907,Jiggs Donahue,655,2.9
2016,Yasmani Grandal,457,2.9
1989,Roberto Kelly,498,2.9
1884,John Morrill,468,2.9
1941,Terry Moore,556,2.9
2018,Jurickson Profar,594,2.9
1982,Greg Luzinski,686,2.9
2003,Adam Kennedy,510,2.9
2017,Carlos Santana,667,2.9
1982,Reggie Smith,398,2.9
1933,Danny Taylor,410,2.9
2011,Michael Morse,575,2.9
1884,Buster Hoover,333,2.9
1992,Manuel Lee,457,2.9
1977,Tony Perez,633,2.9
1916,Buck Herzog,638,2.9
1940,Rip Radcliff,636,2.9
1998,David Segui,580,2.9
2008,Conor Jackson,612,2.9
1990,Gary Sheffield,547,2.9
2008,Jody Gerut,356,2.9
1982,Roy Smalley,581,2.9
1882,John Peters,337,2.9
1902,John Dobbs,555,2.9
1979,Mike Ivie,455,2.9
1974,Roy White,556,2.9
1917,Zack Wheat,387,2.9
1963,Ron Fairly,564,2.9
2016,Eduardo Nunez,595,2.9
1952,Richie Ashburn,701,2.9
1944,Dom Dallessandro,444,2.9
1993,Kevin Mitchell,353,2.9
1970,Dick Allen,533,2.9
2002,Richie Sexson,652,2.9
1982,Gary Matthews,690,2.9
2009,Angel Pagan,376,2.9
1999,Cal Ripken,354,2.9
1988,Howard Johnson,594,2.9
1927,Muddy Ruel,504,2.9
1965,Lee Thomas,603,2.9
1999,Dave Nilsson,404,2.9
1990,Mickey Tettleton,559,2.9
2005,Aramis Ramirez,506,2.9
1930,Earl Webb,506,2.9
1914,Duffy Lewis,596,2.9
1904,Danny Shay,389,2.9
1943,Nick Etten,665,2.9
1995,Chipper Jones,602,2.9
1926,Joe Judge,531,2.9
1921,Harry Hooper,487,2.9
2014,Juan Lagares,452,2.9
1992,Joe Carter,683,2.9
1985,Terry Kennedy,565,2.9
1973,Steve Braun,440,2.9
2010,Casey McGehee,670,2.9
1987,Danny Tartabull,667,2.9
2017,Ender Inciarte,718,2.9
1964,Norm Cash,559,2.9
1950,Johnny Hopp,397,2.9
1929,Roy Johnson,713,2.9
2015,Mark Teixeira,462,2.9
1946,Buddy Blattner,488,2.9
1933,Frankie Frisch,646,2.9
1914,Shano Collins,652,2.9
1994,Will Clark,469,2.9
1933,Gus Suhr,655,2.9
2002,Jerry Hairston,479,2.9
1954,Jim Busby,686,2.9
1920,Frankie Frisch,473,2.9
2018,Anthony Rizzo,665,2.9
1986,Fred Lynn,456,2.9
2013,Chris Denorfia,520,2.9
1999,Ellis Burks,469,2.9
1976,Mike Hargrove,654,2.9
1912,Miller Huggins,530,2.9
1947,Andy Pafko,550,2.9
1943,Eddie Miller,632,2.9
1957,Bob Skinner,431,2.9
1977,Al Bumbry,571,2.9
1891,Jack Boyle,498,2.9
1899,Sam Mertes,474,2.9
1920,Max Carey,567,2.9
1937,Buddy Lewis,733,2.9
1986,Jose Canseco,682,2.9
1982,Jim Sundberg,531,2.9
1996,Harold Baines,572,2.9
2015,David Ortiz,614,2.9
1910,George Moriarty,544,2.9
1993,Scott Cooper,597,2.9
2008,Ryan Howard,700,2.9
2015,Colby Rasmus,485,2.9
1957,Bob Boyd,552,2.9
1977,George Scott,653,2.9
2012,Ian Kinsler,731,2.9
1999,Rey Sanchez,518,2.9
2001,Shane Halter,507,2.9
2017,Whit Merrifield,630,2.9
1986,Phil Bradley,615,2.9
1904,Jimmy Barrett,714,2.9
1928,Hughie Critz,698,2.9
1986,Juan Samuel,633,2.9
1965,Leon Wagner,583,2.9
1988,Dan Gladden,633,2.9
1954,Bobby Morgan,537,2.9
1903,Nixey Callahan,471,2.9
1906,Jiggs Donahue,643,2.9
1917,Ed Konetchy,526,2.9
1944,Oscar Grimes,456,2.9
1936,Gabby Hartnett,468,2.9
1983,Mel Hall,458,2.9
1944,Mickey Rocco,721,2.9
1965,Al Kaline,474,2.9
1889,George Pinkney,611,2.9
2015,Carlos Gonzalez,608,2.9
1975,Carl Yastrzemski,634,2.9
2006,Kenji Johjima,542,2.8
1996,Geronimo Berroa,643,2.8
1922,Bubbles Hargrave,358,2.8
1990,Paul Molitor,458,2.8
2007,Shane Victorino,510,2.8
1875,Jim O'Rourke,367,2.8
1959,Luis Aparicio,686,2.8
2005,Craig Counsell,670,2.8
1881,King Kelly,369,2.8
1988,Walt Weiss,511,2.8
1923,Johnny Bassler,477,2.8
1883,Jerry Denny,402,2.8
1908,Topsy Hartsel,561,2.8
1967,Jim Davenport,347,2.8
2005,Mark Grudzielanek,563,2.8
1901,Doc Casey,594,2.8
1929,Sam Rice,694,2.8
1978,Mark Belanger,408,2.8
1884,Tom McLaughlin,363,2.8
1993,Wally Joyner,573,2.8
1953,Ralph Kiner,666,2.8
1966,Russ Snyder,421,2.8
1913,Johnny Bates,492,2.8
1920,Ed Konetchy,547,2.8
1957,Luis Aparicio,640,2.8
1919,Larry Kopf,545,2.8
1998,Walt Weiss,424,2.8
1930,Charlie Gelbert,573,2.8
1931,Mule Haas,489,2.8
1949,Wally Westlake,577,2.8
2007,Ryan Church,530,2.8
1901,Billy Hamilton,425,2.8
1926,Tony Lazzeri,665,2.8
1972,Ken Henderson,484,2.8
1952,Wes Westrum,403,2.8
1948,Danny Murtaugh,579,2.8
1979,Omar Moreno,757,2.8
1976,Tony Perez,586,2.8
1957,Frank Bolling,644,2.8
1966,Bill Mazeroski,660,2.8
1972,Ken Singleton,585,2.8
1969,Alex Johnson,572,2.8
2001,Craig Biggio,717,2.8
1988,Ernie Whitt,468,2.8
2006,Matt Murton,508,2.8
1978,Joe Ferguson,426,2.8
1975,Bert Campaneris,588,2.8
1971,Cesar Tovar,718,2.8
2016,Chris Davis,665,2.8
2009,Orlando Hudson,631,2.8
1982,Jerry Mumphrey,533,2.8
1968,Mickey Mantle,547,2.8
1982,Harold Baines,668,2.8
1896,Jim Donnelly,454,2.8
1973,Ron Santo,604,2.8
1890,Shorty Fuller,610,2.8
1915,Chick Gandil,541,2.8
1973,Ron Hunt,486,2.8
1988,Ozzie Guillen,606,2.8
2015,Andre Ethier,445,2.8
1966,Jim Northrup,461,2.8
1962,Johnny Roseboro,456,2.8
1978,Rico Carty,593,2.8
1989,Jack Howell,533,2.8
1940,Pinky May,571,2.8
2007,Jeff Kent,562,2.8
2015,Josh Reddick,582,2.8
1933,Hank Greenberg,498,2.8
1926,Cuckoo Christensen,385,2.8
1954,Jim Gilliam,695,2.8
2005,Brady Clark,674,2.8
1942,Vern Stephens,619,2.8
1924,Johnny Mostil,455,2.8
1978,Bill Russell,672,2.8
1978,Lee Mazzilli,619,2.8
1983,Scott Fletcher,302,2.8
1968,Bob Allison,526,2.8
1946,Barney McCosky,471,2.8
1999,Homer Bush,523,2.8
1996,Wally Joyner,510,2.8
1904,Billy Lush,577,2.8
1907,Bob Ganley,688,2.8
1907,Freddy Parent,453,2.8
2008,Raul Ibanez,707,2.8
2009,Juan Uribe,432,2.8
1915,Clyde Milan,647,2.8
1907,Danny Murphy,514,2.8
1893,Eddie Burke,613,2.8
2002,Scott Spiezio,571,2.8
1909,Ed Lennox,497,2.8
1876,John Clapp,306,2.8
1891,Bill Johnson,573,2.8
1951,Carl Furillo,724,2.8
1921,Steve O'Neill,405,2.8
1986,Bob Brenly,560,2.8
2008,Mark Ellis,507,2.8
1964,Maury Wills,685,2.8
1947,Eddie Miller,602,2.8
1988,Jack Clark,616,2.8
2004,Derrek Lee,688,2.8
1951,Joe DiMaggio,482,2.8
1959,Gil Hodges,480,2.8
1989,Brian Harper,412,2.8
2004,Larry Walker,316,2.8
2011,Brendan Ryan,494,2.8
1921,Tommy Griffith,509,2.8
1940,Larry Rosenthal,346,2.8
1925,Joe Judge,444,2.8
1983,Julio Cruz,581,2.8
1993,Greg Gagne,581,2.8
1988,Matt Nokes,425,2.8
2001,Matt Lawton,657,2.8
1886,Charlie Bastian,406,2.8
1914,Ray Schalk,459,2.8
2008,Cristian Guzman,612,2.8
1879,Joe Start,324,2.8
1906,Jim Nealon,636,2.8
1964,Johnny Romano,415,2.8
2001,Einar Diaz,478,2.8
1905,Sammy Strang,369,2.8
1979,Julio Cruz,483,2.8
1900,Claude Ritchey,528,2.8
1981,Kirk Gibson,313,2.8
1922,Johnny Bassler,453,2.8
1894,Oyster Burns,552,2.8
1903,Hobe Ferris,566,2.8
1998,Will Clark,636,2.8
1957,Billy Klaus,537,2.8
2009,Placido Polanco,676,2.8
2007,Lance Berkman,668,2.8
1966,Manny Mota,359,2.8
1994,Rickey Henderson,376,2.8
1985,Kirby Puckett,744,2.8
1957,Jim Piersall,687,2.8
1913,George McBride,565,2.8
2003,Sammy Sosa,589,2.8
2000,Darrin Fletcher,445,2.8
1921,Lu Blue,709,2.8
1906,Tommy Leach,526,2.8
1988,Kurt Stillwell,518,2.8
1955,Billy Goodman,715,2.8
1908,Danny Murphy,582,2.8
1923,Topper Rigney,560,2.8
2009,Seth Smith,387,2.8
1969,Ted Sizemore,650,2.8
1952,Joe Garagiola,396,2.8
1979,Doug DeCinces,484,2.8
1880,Jack Farrell,349,2.8
1975,Gary Matthews,494,2.8
1935,Travis Jackson,556,2.8
1915,Cy Williams,566,2.8
1947,Bruce Edwards,528,2.8
1924,Bob Meusel,630,2.8
1918,Roger Peckinpaugh,517,2.8
1892,Henry Larkin,511,2.8
1995,Bernard Gilkey,531,2.8
2017,Trea Turner,447,2.8
1907,Roy Thomas,521,2.8
2006,Carlos Delgado,618,2.8
1934,Sam West,554,2.8
1996,John Valentin,606,2.8
1942,Luke Appling,613,2.8
1958,Harvey Kuenn,619,2.8
1941,Bill Dickey,397,2.8
1987,Pete O'Brien,638,2.8
2012,Paul Goldschmidt,587,2.8
1907,Socks Seybold,634,2.8
1964,Dick Schofield,464,2.8
2014,Kevin Kiermaier,364,2.8
1996,Eric Young,643,2.8
1913,Gus Williams,605,2.8
1904,Jim Delahanty,541,2.8
2005,Ray Durham,560,2.8
1939,Joe Kuhel,623,2.8
1892,Fred Pfeffer,539,2.8
1892,Perry Werden,661,2.8
2008,Yunel Escobar,587,2.8
1939,Rudy York,376,2.8
1961,Luis Aparicio,672,2.8
1987,Jose Uribe,340,2.8
1909,Tim Jordan,403,2.8
1934,Ethan Allen,633,2.8
2013,Michael Cuddyer,540,2.8
1912,Duffy Lewis,667,2.8
1943,Ralph Hodgin,435,2.8
1883,Pop Smith,427,2.8
1928,Wally Schang,325,2.8
1990,Jody Reed,691,2.8
1963,Chuck Hinton,646,2.8
1959,Jim Lemon,584,2.8
2018,Jackie Bradley Jr.,535,2.8
2018,Shohei Ohtani,367,2.8
1997,Paul O'Neill,637,2.8
1893,Lou Bierbauer,568,2.8
1915,Tommy Griffith,649,2.8
1975,Jorge Orta,602,2.8
2006,Victor Martinez,652,2.8
2018,Charlie Blackmon,696,2.8
2002,Kenny Lofton,611,2.8
2007,Luis Castillo,615,2.8
1969,Billy Williams,708,2.8
1950,Jerry Coleman,602,2.8
1962,Al Smith,575,2.8
1884,Jerry Denny,453,2.8
1975,Dave Winfield,591,2.8
1946,Snuffy Stirnweiss,560,2.8
1983,Darryl Strawberry,473,2.8
1976,Freddie Patek,504,2.8
1997,Darin Erstad,605,2.8
1900,Ed Delahanty,601,2.8
2010,Juan Uribe,575,2.8
1904,Homer Smoot,573,2.8
1911,Bobby Byrne,685,2.8
1977,Bob Boone,495,2.8
1892,Lou Bierbauer,674,2.8
1959,Willie Kirkland,511,2.8
1884,Jack Farrell,504,2.8
2012,Mark Trumbo,586,2.8
1977,Dan Driessen,608,2.8
2013,Ryan Zimmerman,633,2.8
2017,Joey Gallo,532,2.8
1996,Orlando Merced,507,2.8
1976,Phil Garner,603,2.8
1914,Chief Meyers,428,2.8
1931,Shanty Hogan,430,2.8
1968,Bobby Knoop,536,2.8
1887,Fred Pfeffer,514,2.8
1888,Dave Orr,409,2.8
1941,Wally Moses,509,2.8
1975,Del Unser,580,2.8
2000,Javy Lopez,525,2.8
1986,Gary Ward,418,2.8
1990,Tony Gwynn,629,2.8
1937,Jo-Jo Moore,633,2.8
1937,Billy Jurges,506,2.8
1902,Elmer Flick,530,2.8
1933,Pie Traynor,676,2.8
1913,Jimmy Austin,559,2.8
2018,Kolten Wong,407,2.8
1976,Don Baylor,685,2.8
1888,Jumbo Davis,517,2.8
1983,Bob Horner,439,2.8
1890,Parson Nicholson,574,2.8
1995,Jim Eisenreich,423,2.8
1903,Jesse Burkett,574,2.8
1962,Albie Pearson,718,2.8
1997,Garret Anderson,662,2.8
2011,Starlin Castro,715,2.8
1944,Jim Tabor,482,2.8
1906,Bill Bradley,340,2.8
1888,Jim Fogarty,514,2.8
1977,Doug Rader,568,2.8
1992,Darryl Hamilton,528,2.8
1976,Dan Ford,571,2.8
1971,George Scott,590,2.8
1997,Eric Young,718,2.8
1930,Dick Porter,552,2.8
2004,Tony Womack,606,2.8
2002,Aaron Boone,685,2.8
1993,Dante Bichette,581,2.8
2018,Joey Gallo,577,2.8
1981,Jim Rice,495,2.8
1989,Paul O'Neill,480,2.8
1910,Larry Gardner,475,2.8
1990,Kevin Seitzer,697,2.8
1981,Jose Cruz,451,2.8
1998,Ryan Klesko,491,2.8
1995,Jeff Kent,514,2.8
1934,Lonny Frey,556,2.8
1949,Andy Pafko,592,2.8
2015,Danny Valencia,378,2.8
2013,Pedro Alvarez,614,2.8
1950,Chico Carrasquel,603,2.8
1983,Tim Wallach,647,2.8
1984,Brett Butler,709,2.8
1955,Jim Rivera,530,2.8
1996,Greg Vaughn,609,2.8
1902,Kitty Bransfield,442,2.8
1950,Ray Boone,425,2.8
1896,Dusty Miller,559,2.8
2004,Rafael Furcal,632,2.8
1932,Pie Traynor,556,2.8
1898,Chick Stahl,529,2.8
1908,Bill Hinchman,530,2.8
1979,Graig Nettles,588,2.8
1987,Bobby Bonilla,515,2.8
1933,Sam West,582,2.8
2007,Jack Cust,507,2.8
1999,Royce Clayton,520,2.8
1960,Gil McDougald,387,2.8
2014,Carlos Santana,660,2.8
2013,Brian McCann,402,2.8
1972,Manny Mota,410,2.8
1980,Rich Dauer,618,2.8
2007,Khalil Greene,659,2.8
1985,Pete O'Brien,655,2.8
2008,Brandon Phillips,609,2.8
1910,Harry Lord,507,2.8
1912,John Titus,609,2.8
1926,Edd Roush,631,2.8
1952,Jackie Jensen,664,2.8
1949,Eddie Robinson,603,2.8
2009,Carlos Pena,570,2.8
1960,Wally Post,374,2.8
1967,Max Alvis,697,2.8
2014,Corey Dickerson,478,2.8
1966,Matty Alou,578,2.8
1890,Ned Hanlon,558,2.8
1894,Jimmy Ryan,527,2.8
1999,Miguel Tejada,674,2.8
1953,Del Crandall,420,2.8
1953,George Strickland,482,2.8
1930,Ossie Bluege,562,2.8
2011,Clint Barmes,495,2.8
1886,Frank Hankinson,571,2.8
1934,Danny Taylor,476,2.8
1986,Dan Gladden,402,2.8
1930,Jimmie Dykes,535,2.8
1916,Wally Schang,399,2.8
1968,Duke Sims,429,2.8
1973,Dave Roberts,503,2.8
1953,Bobby Avila,633,2.8
1994,Leo Gomez,334,2.8
1999,Jose Offerman,693,2.8
2008,Ty Wigginton,429,2.8
1907,Spike Shannon,685,2.8
1996,Fred McGriff,691,2.8
1908,Freddy Parent,461,2.8
1984,Mickey Hatcher,624,2.8
1984,Tony Armas,679,2.8
1978,Larry Parrish,560,2.8
1945,Johnny Hopp,505,2.8
1911,Ping Bodie,618,2.8
1893,Bill Dahlen,548,2.8
1977,Ivan DeJesus,695,2.8
1978,Cecil Cooper,448,2.8
1937,Wally Berger,347,2.8
2015,Robinson Cano,674,2.8
1970,Willie Stargell,529,2.8
1925,Mickey Cochrane,474,2.8
1925,Bill Terry,536,2.8
1984,Gary Matthews,608,2.8
1898,Ed McKean,674,2.8
1927,Max Bishop,489,2.8
1891,Ed McKean,668,2.8
1922,Frank Snyder,354,2.8
1929,Rube Bressler,539,2.8
1970,Ken McMullen,552,2.8
1971,Bert Campaneris,609,2.8
1887,Darby O'Brien,566,2.8
1992,Reggie Sanders,438,2.8
1889,Jack O'Connor,435,2.8
1926,Harry Rice,655,2.8
1970,Bill Freehan,458,2.8
1987,Chris James,391,2.8
1950,Ferris Fain,658,2.8
1908,Bob Unglaub,574,2.8
1911,Roy Hartzell,616,2.8
2010,John Buck,437,2.8
1936,Pepper Martin,634,2.8
1979,Al Bumbry,621,2.8
1902,Joe Kelley,435,2.8
1964,Lee Maye,627,2.8
1926,Eddie Brown,650,2.8
1886,Tom Burns,459,2.8
1981,Pedro Guerrero,387,2.7
1907,Bobby Byrne,624,2.7
1933,Rick Ferrell,580,2.7
2008,Elijah Dukes,334,2.7
1966,John Bateman,468,2.7
2005,Johnny Damon,688,2.7
1980,John Wathan,510,2.7
1952,Jim Dyck,458,2.7
1974,Manny Sanguillen,632,2.7
2003,Julio Lugo,556,2.7
2013,Ian Kinsler,614,2.7
1900,Dan McGann,507,2.7
2013,Elvis Andrus,698,2.7
2012,Carlos Gonzalez,579,2.7
1884,Tom Brown,479,2.7
1995,Jeff King,509,2.7
1968,Alex Johnson,634,2.7
1968,Bobby Bonds,349,2.7
1939,Eric McNair,528,2.7
2013,Alexei Ramirez,674,2.7
1954,Ralph Kiner,643,2.7
1994,Mark Whiten,374,2.7
1919,Zack Wheat,581,2.7
1980,Butch Wynegar,564,2.7
1915,Red Killefer,634,2.7
1932,Mule Haas,649,2.7
1883,Jim Clinton,426,2.7
2004,Michael Young,739,2.7
1943,Mickey Vernon,638,2.7
2003,Edgar Martinez,603,2.7
1954,Cass Michaels,344,2.7
1884,Joe Gerhardt,422,2.7
1918,Al Wickland,399,2.7
1973,Don Money,627,2.7
1985,Rick Dempsey,420,2.7
2004,Jose Guillen,621,2.7
2005,Kevin Mench,615,2.7
1983,Rudy Law,551,2.7
1964,Deron Johnson,519,2.7
1890,Oyster Burns,527,2.7
1983,Rance Mulliniks,427,2.7
1931,Gabby Hartnett,438,2.7
1969,Johnny Callison,552,2.7
2005,Lance Berkman,565,2.7
2018,Joc Pederson,443,2.7
2008,Carl Crawford,482,2.7
1982,Gene Richards,562,2.7
1923,Frank Brower,476,2.7
1889,John Reilly,479,2.7
1912,Sherry Magee,555,2.7
1928,Woody English,522,2.7
1991,Kent Hrbek,534,2.7
1995,Todd Hundley,326,2.7
1973,Richie Zisk,354,2.7
2018,Corey Dickerson,533,2.7
1937,Billy Rogell,632,2.7
1978,Richie Hebner,505,2.7
2014,Albert Pujols,695,2.7
1983,Bill Sample,611,2.7
1983,Tom Herr,368,2.7
1935,Pinky Higgins,573,2.7
1909,Al Burch,661,2.7
1901,Jake Beckley,635,2.7
2009,Brandon Phillips,644,2.7
1919,Nemo Leibold,521,2.7
1914,Fred Jacklitsch,396,2.7
2016,Evan Gattis,499,2.7
1964,Bob Aspromonte,608,2.7
2014,Desmond Jennings,542,2.7
1974,Larry Hisle,576,2.7
1946,Johnny Wyrostek,628,2.7
1976,Reggie Smith,430,2.7
1992,Leo Gomez,552,2.7
2014,Brandon Crawford,564,2.7
1987,Terry Pendleton,667,2.7
1988,Wally Backman,347,2.7
2015,Alex Gordon,422,2.7
1939,Ben Chapman,654,2.7
1902,Charlie Irwin,520,2.7
1917,Mike Menosky,382,2.7
1903,John Ganzel,533,2.7
1939,Stan Hack,723,2.7
1938,Rick Ferrell,495,2.7
2009,Chris Coghlan,565,2.7
2001,Robin Ventura,549,2.7
1990,Gregg Jefferies,659,2.7
2005,J.D. Drew,311,2.7
1976,Frank Taveras,573,2.7
2009,Mike Napoli,432,2.7
2009,Miguel Montero,470,2.7
1994,Jeff Kent,452,2.7
1940,Vince DiMaggio,405,2.7
1987,Ken Phelps,424,2.7
1979,Willie Stargell,480,2.7
1950,Wally Westlake,534,2.7
1970,Vada Pinson,611,2.7
1990,Alvin Davis,592,2.7
1980,Wayne Gross,419,2.7
1996,Jim Eisenreich,373,2.7
2005,Jonny Gomes,407,2.7
1921,Billy Southworth,642,2.7
1940,Moose Solters,457,2.7
1892,Jimmy McAleer,638,2.7
2011,Gaby Sanchez,661,2.7
1973,Rico Petrocelli,407,2.7
1941,Cookie Lavagetto,523,2.7
1952,Davey Williams,605,2.7
1951,Randy Jackson,609,2.7
1919,Max Flack,517,2.7
1886,Alex McKinnon,512,2.7
2001,Richard Hidalgo,593,2.7
1990,John Kruk,515,2.7
1918,Del Pratt,537,2.7
2010,Alfonso Soriano,548,2.7
1887,Henry Larkin,553,2.7
1977,Dave Concepcion,630,2.7
1977,Leroy Stanton,505,2.7
1977,Chris Chambliss,653,2.7
1977,Bucky Dent,540,2.7
1902,Homer Smoot,566,2.7
2017,Matt Chapman,326,2.7
1907,John Titus,590,2.7
1981,Jack Clark,437,2.7
1975,Jay Johnstone,398,2.7
1962,Earl Battey,591,2.7
2002,Trot Nixon,612,2.7
1976,Greg Luzinski,605,2.7
1984,Tom Brunansky,628,2.7
1966,Clay Dalrymple,404,2.7
1890,Deacon McGuire,360,2.7
1984,Butch Wynegar,512,2.7
1900,Chick Stahl,597,2.7
1918,Clyde Milan,551,2.7
2005,Craig Biggio,651,2.7
1945,George McQuinn,561,2.7
1959,Hector Lopez,593,2.7
1982,Chris Chambliss,598,2.7
1998,Chuck Knoblauch,706,2.7
1974,George Hendrick,534,2.7
1918,Eddie Foster,575,2.7
1994,Darrin Jackson,403,2.7
1932,Sam West,612,2.7
1937,Frankie Pytlak,463,2.7
1967,Johnny Roseboro,380,2.7
1960,Al Kaline,629,2.7
1973,Dick McAuliffe,395,2.7
1984,Wayne Gross,414,2.7
2017,Welington Castillo,365,2.7
1978,Ozzie Smith,668,2.7
1997,Bill Mueller,453,2.7
1972,Freddie Patek,577,2.7
1998,Sean Berry,342,2.7
1987,Kevin Bass,654,2.7
1966,Rusty Staub,628,2.7
1981,Dave Winfield,440,2.7
2016,Todd Frazier,666,2.7
1939,Frankie Crosetti,743,2.7
1996,Reggie Sanders,334,2.7
2003,Alex Gonzalez,582,2.7
2009,Garrett Jones,358,2.7
2011,Marco Scutaro,445,2.7
2010,Hunter Pence,658,2.7
1887,Billy O'Brien,479,2.7
